Player,Year ,Team,WHIP,K9
A.J.Burnett,2014,PHI,1.409,8
A.J.Burnett,2015,PIT,1.36,7.85
A.J.Griffin,2016,TEX,1.361,8.09
AaronHarang,2014,ATL,1.4,7.09
AaronHarang,2015,PHI,1.393,5.64
AaronNola,2016,PHI,1.306,9.81
AaronNola,2017,PHI,1.208,9.86
AaronSanchez,2016,TOR,1.167,7.55
AdamConley,2016,MIA,1.403,8.37
AdamConley,2017,MIA,1.519,6.31
AdamMorgan,2016,PHI,1.5,7.54
AdamWainwright,2014,STL,1.031,7.1
AdamWainwright,2016,STL,1.404,7.29
AdamWainwright,2017,STL,1.5,7.01
AdamWarren,2015,NYY,1.165,7.13
AlexCobb,2014,TBR,1.136,8.06
AlexCobb,2017,TBR,1.221,6.42
AlexColome,2015,TBR,1.304,7.22
AlexWood,2014,ATL,1.142,8.91
AlexWood,2015,TOT,1.355,6.6
AlexWood,2017,LAD,1.057,8.92
AlfredoSimon,2014,CIN,1.207,5.82
AlfredoSimon,2015,DET,1.439,5.63
AndrewCashner,2014,SDP,1.127,6.79
AndrewCashner,2015,SDP,1.44,8.04
AndrewCashner,2016,TOT,1.53,7.64
AndrewCashner,2017,TEX,1.32,4.64
AndrewHeaney,2015,LAA,1.202,6.64
AnibalSanchez,2014,DET,1.095,7.29
AnibalSanchez,2015,DET,1.28,7.91
AnibalSanchez,2016,DET,1.461,7.92
AnibalSanchez,2017,DET,1.595,8.89
AnthonyDeSclafani,2015,CIN,1.348,7.36
AnthonyDeSclafani,2016,CIN,1.216,7.66
AntonioSenzatela,2017,COL,1.3,6.82
ArchieBradley,2016,ARI,1.56,9.08
ArielMiranda,2017,SEA,1.269,7.71
BartoloColon,2014,NYM,1.226,6.72
BartoloColon,2015,NYM,1.238,6.29
BartoloColon,2016,NYM,1.21,6.01
BartoloColon,2017,TOT,1.587,5.6
BlakeSnell,2017,TBR,1.33,8.28
BradHand,2014,MIA,1.36,5.43
BradPeacock,2014,HOU,1.565,8.13
BradPeacock,2017,HOU,1.189,10.98
BrandonFinnegan,2016,CIN,1.36,7.59
BrandonMcCarthy,2014,TOT,1.275,7.88
BrettAnderson,2015,LAD,1.331,5.79
BrettOberholtzer,2014,HOU,1.378,5.89
BudNorris,2014,BAL,1.216,7.57
BudNorris,2016,TOT,1.46,8.12
C.J.Wilson,2014,LAA,1.446,7.74
C.J.Wilson,2015,LAA,1.242,7.5
CarlosCarrasco,2014,CLE,0.985,9.4
CarlosCarrasco,2015,CLE,1.073,10.58
CarlosCarrasco,2016,CLE,1.148,9.23
CarlosCarrasco,2017,CLE,1.095,10.17
CarlosMartinez,2015,STL,1.286,9.22
CarlosMartinez,2016,STL,1.224,8.02
CarlosMartinez,2017,STL,1.22,9.53
CarlosRodon,2015,CHW,1.443,8.98
CarlosRodon,2016,CHW,1.394,9.16
CCSabathia,2015,NYY,1.422,7.37
CCSabathia,2016,NYY,1.319,7.61
CCSabathia,2017,NYY,1.271,7.26
ChadBettis,2015,COL,1.409,7.67
ChadBettis,2016,COL,1.414,6.68
ChadKuhl,2017,PIT,1.468,8.12
CharlieMorton,2014,PIT,1.271,7.21
CharlieMorton,2015,PIT,1.38,6.7
CharlieMorton,2017,HOU,1.193,10
ChaseAnderson,2014,ARI,1.373,8.27
ChaseAnderson,2015,ARI,1.297,6.54
ChaseAnderson,2016,MIL,1.371,7.12
ChaseAnderson,2017,MIL,1.09,8.47
ChrisArcher,2014,TBR,1.279,8
ChrisArcher,2015,TBR,1.137,10.7
ChrisArcher,2016,TBR,1.242,10.42
ChrisArcher,2017,TBR,1.259,11.15
ChrisDevenski,2016,HOU,0.914,8.64
ChrisHeston,2015,SFG,1.311,7.14
ChrisRusin,2015,COL,1.603,5.88
ChrisSale,2014,CHW,0.966,10.76
ChrisSale,2015,CHW,1.088,11.82
ChrisSale,2016,CHW,1.037,9.25
ChrisSale,2017,BOS,0.97,12.93
ChristianFriedrich,2016,SDP,1.415,6.96
ChrisTillman,2014,BAL,1.23,6.51
ChrisTillman,2015,BAL,1.387,6.24
ChrisTillman,2016,BAL,1.285,7.33
ChrisYoung,2014,SEA,1.23,5.89
ChrisYoung,2015,KCR,1.086,6.06
ClayBuchholz,2014,BOS,1.386,6.97
ClayBuchholz,2015,BOS,1.209,8.5
ClayBuchholz,2016,BOS,1.328,6.01
ClaytonKershaw,2014,LAD,0.857,10.85
ClaytonKershaw,2015,LAD,0.881,11.64
ClaytonKershaw,2016,LAD,0.725,10.39
ClaytonKershaw,2017,LAD,0.949,10.39
ClaytonRichard,2017,SDP,1.515,6.89
ColbyLewis,2014,TEX,1.521,7.03
ColbyLewis,2015,TEX,1.236,6.24
ColbyLewis,2016,TEX,1.126,5.65
ColeHamels,2014,PHI,1.148,8.71
ColeHamels,2015,TOT,1.187,9.11
ColeHamels,2016,TEX,1.306,8.97
ColeHamels,2017,TEX,1.203,6.39
ColinRea,2016,TOT,1.422,7.01
CollinMcHugh,2014,HOU,1.022,9.14
CollinMcHugh,2015,HOU,1.277,7.56
CollinMcHugh,2016,HOU,1.408,8.63
CoreyKluber,2014,CLE,1.095,10.27
CoreyKluber,2015,CLE,1.054,9.93
CoreyKluber,2016,CLE,1.056,9.5
CoreyKluber,2017,CLE,0.869,11.71
DallasKeuchel,2014,HOU,1.175,6.57
DallasKeuchel,2015,HOU,1.017,8.38
DallasKeuchel,2016,HOU,1.286,7.71
